ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
867, White-tailed Deer,"(39.166674, -75.49868)",39.166674,-75.49868
306, White-tailed Deer,"(39.1759524, -77.26029701671686)",39.1759524,-77.26029702
683, White-tailed Deer,"(39.2012776, -76.9247364)",39.2012776,-76.9247364
260, White-tailed Deer,"(39.2127031, -78.279166)",39.2127031,-78.279166
257, White-tailed Deer,"(39.2300474, -86.4161054)",39.2300474,-86.4161054
258, White-tailed Deer,"(39.2300474, -86.4161054)",39.2300474,-86.4161054
648, White-tailed Deer,"(39.26099215, -76.74554333316948)",39.26099215,-76.74554333
831, White-tailed Deer,"(39.2826672, -81.5478498)",39.2826672,-81.5478498
520, White-tailed Deer,"(39.2908816, -76.610759)",39.2908816,-76.610759
798, White-tailed Deer,"(39.3110265, -76.5477550805401)",39.3110265,-76.54775508
491, White-tailed Deer,"(39.3111708, -76.78029330972203)",39.3111708,-76.78029331
606, White-tailed Deer,"(39.32417815, -82.100517454989)",39.32417815,-82.10051745
451, White-tailed Deer,"(39.32417815, -82.100517454989)",39.32417815,-82.10051745
311, White-tailed Deer,"(39.32417815, -82.100517454989)",39.32417815,-82.10051745
128, White-tailed Deer,"(39.3259325, -77.76879416831918)",39.3259325,-77.76879417
